stratum,n_zone_dir,mean_DS_z,median_DS_z,p25_DS_z,p75_DS_z,max_DS_z,top_zone,top_direction
manhattan,132,0.04955629687549339,0.05137648183429035,0.04348117052244835,0.056554278294391726,0.0638062691634129,Alphabet City,dropoff
outer,382,0.02705023992353579,0.02553410834130105,0.020743566887137275,0.03295934985106573,0.0505534612828059,Downtown Brooklyn/MetroTech,dropoff
airport,4,0.017565503333334,0.0177252404242456,0.014652413481299725,0.020638330276279874,0.0210294768035514,LaGuardia Airport,dropoff
ewr,1,0.0146130955995104,0.0146130955995104,0.0146130955995104,0.0146130955995104,0.0146130955995104,Newark Airport,dropoff
