zone,direction,zone_name,Borough,DS_z,DS_z_median,N_z,DS_z_rank
137,dropoff,Kips Bay,Manhattan,0.0476,0.0466,174406,1
90,dropoff,Flatiron,Manhattan,0.0473,0.0475,219240,2
234,dropoff,Union Sq,Manhattan,0.0471,0.0466,372281,3
249,dropoff,West Village,Manhattan,0.0467,0.0466,263614,4
107,dropoff,Gramercy,Manhattan,0.0464,0.0466,284967,5
229,dropoff,Sutton Place/Turtle Bay North,Manhattan,0.0462,0.0457,310457,6
170,dropoff,Murray Hill,Manhattan,0.0457,0.0455,431771,7
162,dropoff,Midtown East,Manhattan,0.0453,0.0455,419119,8
113,dropoff,Greenwich Village North,Manhattan,0.0451,0.0446,195929,9
186,dropoff,Penn Station/Madison Sq West,Manhattan,0.0451,0.0446,319799,10
237,dropoff,Upper East Side South,Manhattan,0.0451,0.0446,366800,11
68,dropoff,East Chelsea,Manhattan,0.0449,0.0446,380723,12
161,dropoff,Midtown Center,Manhattan,0.0448,0.0446,574247,13
114,dropoff,Greenwich Village South,Manhattan,0.0447,0.0446,149550,14
50,dropoff,Clinton West,Manhattan,0.0446,0.0436,145306,15
