definition_key,denominator_floor,aggregation_method,direction,n_zone_direction_pairs,spearman_rank_corr_vs_primary,mean_abs_rank_delta,median_abs_rank_delta,max_abs_rank_delta
floor_0_50_mean,0.50,mean,all,525,0.9999996682887694,0.0038095238095238095,0.0,1
floor_0_50_mean,0.50,mean,dropoff,263,0.9999993403398042,0.0076045627376425855,0.0,1
floor_0_50_mean,0.50,mean,pickup,262,1.0000000000000002,0.0,0.0,0
floor_1_00_mean,1.00,mean,all,525,1.0000000000000002,0.0,0.0,0
floor_1_00_mean,1.00,mean,dropoff,263,1.0,0.0,0.0,0
floor_1_00_mean,1.00,mean,pickup,262,1.0000000000000002,0.0,0.0,0
floor_2_00_mean,2.00,mean,all,525,0.9999966828876912,0.015238095238095238,0.0,4
floor_2_00_mean,2.00,mean,dropoff,263,1.0,0.0,0.0,0
floor_2_00_mean,2.00,mean,pickup,262,0.9999933275750308,0.030534351145038167,0.0,4
floor_5_00_mean,5.00,mean,all,525,0.9999797656149165,0.06476190476190476,0.0,9
floor_5_00_mean,5.00,mean,dropoff,263,0.9999967016990209,0.022813688212927757,0.0,2
floor_5_00_mean,5.00,mean,pickup,262,0.9999626344201714,0.10687022900763359,0.0,9
floor_0_50_median,0.50,median,all,525,0.9985009969476789,2.64,2.0,30
floor_0_50_median,0.50,median,dropoff,263,0.9986345033946114,2.3726235741444865,2.0,30
floor_0_50_median,0.50,median,pickup,262,0.9983659231249905,2.9083969465648853,2.0,21
floor_1_00_median,1.00,median,all,525,0.9985009969476789,2.64,2.0,30
floor_1_00_median,1.00,median,dropoff,263,0.9986345033946114,2.3726235741444865,2.0,30
floor_1_00_median,1.00,median,pickup,262,0.9983659231249905,2.9083969465648853,2.0,21
floor_2_00_median,2.00,median,all,525,0.9985009969476785,2.64,2.0,30
floor_2_00_median,2.00,median,dropoff,263,0.9986345033946114,2.3726235741444865,2.0,30
floor_2_00_median,2.00,median,pickup,262,0.9983659231249905,2.9083969465648853,2.0,21
floor_5_00_median,5.00,median,all,525,0.9985009969476789,2.64,2.0,30
floor_5_00_median,5.00,median,dropoff,263,0.9986345033946114,2.3726235741444865,2.0,30
floor_5_00_median,5.00,median,pickup,262,0.9983659231249902,2.9083969465648853,2.0,21
