zone,direction,year,month,n_trips,log_n_trips,placebo_post,Borough,zone_name,service_zone,crz_zone,charged_share_2023_geo,unit_id
1,dropoff,2023,2,117851,11.677176393691026,0,EWR,Newark Airport,EWR,false,0.6702132769718513,1_dropoff
1,dropoff,2023,3,142160,11.864708462828533,0,EWR,Newark Airport,EWR,false,0.6702132769718513,1_dropoff
1,dropoff,2023,4,132005,11.790595079639003,0,EWR,Newark Airport,EWR,false,0.6702132769718513,1_dropoff
1,dropoff,2023,5,149252,11.913391431500074,0,EWR,Newark Airport,EWR,false,0.6702132769718513,1_dropoff
1,dropoff,2024,2,127130,11.752965463944168,1,EWR,Newark Airport,EWR,false,0.6702132769718513,1_dropoff
1,dropoff,2024,3,141385,11.859241944780736,1,EWR,Newark Airport,EWR,false,0.6702132769718513,1_dropoff
1,dropoff,2024,4,142899,11.869893365992844,1,EWR,Newark Airport,EWR,false,0.6702132769718513,1_dropoff
1,dropoff,2024,5,155973,11.957438194329058,1,EWR,Newark Airport,EWR,false,0.6702132769718513,1_dropoff
1,pickup,2023,2,1,0.0,0,EWR,Newark Airport,EWR,false,0.16666666666666666,1_pickup
1,pickup,2023,4,2,0.6931471805599453,0,EWR,Newark Airport,EWR,false,0.16666666666666666,1_pickup
1,pickup,2023,5,3,1.0986122886681098,0,EWR,Newark Airport,EWR,false,0.16666666666666666,1_pickup
1,pickup,2024,2,1,0.0,1,EWR,Newark Airport,EWR,false,0.16666666666666666,1_pickup
1,pickup,2024,4,1,0.0,1,EWR,Newark Airport,EWR,false,0.16666666666666666,1_pickup
1,pickup,2024,5,1,0.0,1,EWR,Newark Airport,EWR,false,0.16666666666666666,1_pickup
2,dropoff,2023,2,26,3.258096538021482,0,Queens,Jamaica Bay,Boro Zone,false,0.05442176870748299,2_dropoff
2,dropoff,2023,3,29,3.367295829986474,0,Queens,Jamaica Bay,Boro Zone,false,0.05442176870748299,2_dropoff
2,dropoff,2023,4,44,3.784189633918261,0,Queens,Jamaica Bay,Boro Zone,false,0.05442176870748299,2_dropoff
2,dropoff,2023,5,48,3.871201010907891,0,Queens,Jamaica Bay,Boro Zone,false,0.05442176870748299,2_dropoff
2,dropoff,2024,2,34,3.5263605246161616,1,Queens,Jamaica Bay,Boro Zone,false,0.05442176870748299,2_dropoff
2,dropoff,2024,3,33,3.4965075614664802,1,Queens,Jamaica Bay,Boro Zone,false,0.05442176870748299,2_dropoff
2,dropoff,2024,4,53,3.970291913552122,1,Queens,Jamaica Bay,Boro Zone,false,0.05442176870748299,2_dropoff
2,dropoff,2024,5,73,4.290459441148391,1,Queens,Jamaica Bay,Boro Zone,false,0.05442176870748299,2_dropoff
2,pickup,2023,2,28,3.332204510175204,0,Queens,Jamaica Bay,Boro Zone,false,0.06,2_pickup
2,pickup,2023,3,31,3.4339872044851463,0,Queens,Jamaica Bay,Boro Zone,false,0.06,2_pickup
2,pickup,2023,4,45,3.8066624897703196,0,Queens,Jamaica Bay,Boro Zone,false,0.06,2_pickup
2,pickup,2023,5,46,3.828641396489095,0,Queens,Jamaica Bay,Boro Zone,false,0.06,2_pickup
2,pickup,2024,2,26,3.258096538021482,1,Queens,Jamaica Bay,Boro Zone,false,0.06,2_pickup
2,pickup,2024,3,31,3.4339872044851463,1,Queens,Jamaica Bay,Boro Zone,false,0.06,2_pickup
2,pickup,2024,4,49,3.8918202981106265,1,Queens,Jamaica Bay,Boro Zone,false,0.06,2_pickup
2,pickup,2024,5,58,4.060443010546419,1,Queens,Jamaica Bay,Boro Zone,false,0.06,2_pickup
3,dropoff,2023,2,34493,10.44851168388203,0,Bronx,Allerton/Pelham Gardens,Boro Zone,false,0.026520205556362867,3_dropoff
3,dropoff,2023,3,40690,10.613737640995735,0,Bronx,Allerton/Pelham Gardens,Boro Zone,false,0.026520205556362867,3_dropoff
3,dropoff,2023,4,36983,10.518213626583062,0,Bronx,Allerton/Pelham Gardens,Boro Zone,false,0.026520205556362867,3_dropoff
3,dropoff,2023,5,39228,10.57714605651221,0,Bronx,Allerton/Pelham Gardens,Boro Zone,false,0.026520205556362867,3_dropoff
3,dropoff,2024,2,40404,10.606684068949075,1,Bronx,Allerton/Pelham Gardens,Boro Zone,false,0.026520205556362867,3_dropoff
3,dropoff,2024,3,44480,10.702794928924463,1,Bronx,Allerton/Pelham Gardens,Boro Zone,false,0.026520205556362867,3_dropoff
3,dropoff,2024,4,41204,10.626290618003583,1,Bronx,Allerton/Pelham Gardens,Boro Zone,false,0.026520205556362867,3_dropoff
3,dropoff,2024,5,43085,10.670930187673868,1,Bronx,Allerton/Pelham Gardens,Boro Zone,false,0.026520205556362867,3_dropoff
3,pickup,2023,2,37020,10.519213586127488,0,Bronx,Allerton/Pelham Gardens,Boro Zone,false,0.0226366654735309,3_pickup
3,pickup,2023,3,43774,10.68679531280403,0,Bronx,Allerton/Pelham Gardens,Boro Zone,false,0.0226366654735309,3_pickup
3,pickup,2023,4,39455,10.582916060955135,0,Bronx,Allerton/Pelham Gardens,Boro Zone,false,0.0226366654735309,3_pickup
3,pickup,2023,5,41789,10.640388425985996,0,Bronx,Allerton/Pelham Gardens,Boro Zone,false,0.0226366654735309,3_pickup
3,pickup,2024,2,42764,10.66345190613339,1,Bronx,Allerton/Pelham Gardens,Boro Zone,false,0.0226366654735309,3_pickup
3,pickup,2024,3,47183,10.761788937205512,1,Bronx,Allerton/Pelham Gardens,Boro Zone,false,0.0226366654735309,3_pickup
3,pickup,2024,4,43761,10.686498288754322,1,Bronx,Allerton/Pelham Gardens,Boro Zone,false,0.0226366654735309,3_pickup
3,pickup,2024,5,44491,10.7030422005086,1,Bronx,Allerton/Pelham Gardens,Boro Zone,false,0.0226366654735309,3_pickup
4,dropoff,2023,2,53691,10.891000668685518,0,Manhattan,Alphabet City,Yellow Zone,true,1.0,4_dropoff
4,dropoff,2023,3,58701,10.980212041446208,0,Manhattan,Alphabet City,Yellow Zone,true,1.0,4_dropoff
4,dropoff,2023,4,56223,10.93708120482979,0,Manhattan,Alphabet City,Yellow Zone,true,1.0,4_dropoff
4,dropoff,2023,5,53344,10.88451678555052,0,Manhattan,Alphabet City,Yellow Zone,true,1.0,4_dropoff
4,dropoff,2024,2,55485,10.923867992934664,1,Manhattan,Alphabet City,Yellow Zone,true,1.0,4_dropoff
4,dropoff,2024,3,58241,10.97234485305283,1,Manhattan,Alphabet City,Yellow Zone,true,1.0,4_dropoff
4,dropoff,2024,4,52798,10.874228590189055,1,Manhattan,Alphabet City,Yellow Zone,true,1.0,4_dropoff
4,dropoff,2024,5,53029,10.878594212702763,1,Manhattan,Alphabet City,Yellow Zone,true,1.0,4_dropoff
4,pickup,2023,2,63919,11.065371935762084,0,Manhattan,Alphabet City,Yellow Zone,true,1.0,4_pickup
4,pickup,2023,3,69478,11.148765434678792,0,Manhattan,Alphabet City,Yellow Zone,true,1.0,4_pickup
