exposure_quartile,month_label,month,indexed_n_trips,average_n_trips,n_units
Q1 low,Feb,2,0.9394854101095682,46487.62686567164,134
Q1 low,Mar,3,1.0580855219406917,52790.857142857145,133
Q1 low,Apr,4,0.9733624736670474,47735.432835820895,134
Q1 low,May,5,1.0297218733520412,50217.87218045113,133
Q2,Feb,2,0.9394618607336003,44341.1007751938,129
Q2,Mar,3,1.0554769973903404,49551.15503875969,129
Q2,Apr,4,0.9685416771826277,45139.410852713176,129
Q2,May,5,1.0365194646934313,47231.635658914725,129
Q3,Feb,2,0.9135901495594348,77766.82442748091,131
Q3,Mar,3,1.0319338950168107,86305.76335877863,131
Q3,Apr,4,0.9943637895185031,78998.49618320611,131
Q3,May,5,1.0601121659052515,83118.9465648855,131
Q4 high,Feb,2,0.9668890595588834,127455.36923076923,130
Q4 high,Mar,3,1.0378353791100505,136186.12213740457,131
Q4 high,Apr,4,0.9767782867820424,129972.96153846153,130
Q4 high,May,5,1.0182062331712542,136522.86153846153,130
