zone,direction,n_2024,n_2025,pct_volume_change,avg_total_cost_2024,avg_total_cost_2025,avg_distance_2024,avg_distance_2025,low_n_flag
197,pickup,2230,3484,0.5623,48.8,56.16,6.272,7.013,false
198,dropoff,7577,7370,-0.0273,44.39,43.97,8.277,8.119,false
198,pickup,664,779,0.1732,30.49,30.92,5.205,5.504,false
199,pickup,5,7,0.4,51.78,49.76,10.36,9.986,true
200,dropoff,4961,5026,0.0131,67.64,67.33,14.349,14.261,false
200,pickup,426,527,0.2371,43.94,43.7,10.155,10.501,false
201,dropoff,1615,1659,0.0272,68.82,68.58,14.974,15.07,false
201,pickup,326,398,0.2209,50.94,53.36,12.687,13.383,false
202,dropoff,8161,7759,-0.0493,37.66,37.89,6.403,6.498,false
202,pickup,614,737,0.2003,31.53,33.8,4.1,5.266,false
203,dropoff,3061,3047,-0.0046,36.89,35.94,7.768,7.781,false
203,pickup,818,748,-0.0856,51.26,47.21,11.352,11.596,false
204,dropoff,54,62,0.1481,144.16,140.54,30.389,29.881,true
204,pickup,,2,,,156.0,,0.17,true
205,dropoff,5236,5037,-0.038,37.83,37.57,7.818,7.97,false
205,pickup,1714,1669,-0.0263,42.93,44.92,10.31,11.499,false
206,dropoff,317,302,-0.0473,107.84,107.58,22.165,21.987,false
206,pickup,5,7,0.4,57.18,48.17,11.184,7.177,true
207,dropoff,239,269,0.1255,38.32,43.67,5.246,5.279,false
207,pickup,300,540,0.8,42.12,53.77,5.238,5.168,false
208,dropoff,2209,2067,-0.0643,60.6,59.74,12.618,12.583,false
208,pickup,527,583,0.1063,40.56,40.56,9.066,9.494,false
209,dropoff,41332,39028,-0.0557,30.88,31.29,5.123,5.072,false
209,pickup,26799,26031,-0.0287,27.28,27.35,4.1,4.035,false
210,dropoff,2820,2923,0.0365,56.63,53.55,12.979,12.091,false
210,pickup,1287,1595,0.2393,42.82,40.98,9.154,8.743,false
211,dropoff,126091,131603,0.0437,22.58,23.11,2.743,2.727,false
211,pickup,117079,122371,0.0452,21.29,21.74,2.411,2.36,false
212,dropoff,1296,1263,-0.0255,52.78,50.05,10.786,10.712,false
212,pickup,435,656,0.508,36.36,38.65,7.741,9.409,false
213,dropoff,2781,2755,-0.0093,52.37,50.23,10.632,10.596,false
213,pickup,1464,1581,0.0799,38.82,39.0,8.666,8.882,false
214,dropoff,240,262,0.0917,88.71,91.95,18.271,19.135,false
214,pickup,12,14,0.1667,49.36,36.27,11.055,9.615,true
215,dropoff,4425,4714,0.0653,35.22,33.63,6.763,6.553,false
215,pickup,2861,2550,-0.1087,57.75,61.13,10.97,11.297,false
216,dropoff,14846,15753,0.0611,34.88,38.72,5.676,5.258,false
216,pickup,3771,6029,0.5988,63.44,71.48,6.271,4.505,false
217,dropoff,5616,5846,0.041,42.17,41.84,7.269,7.23,false
217,pickup,551,673,0.2214,27.78,28.71,4.74,4.51,false
218,dropoff,3910,4372,0.1182,33.05,33.01,6.577,6.777,false
218,pickup,1649,1480,-0.1025,42.2,43.03,9.551,10.352,false
219,dropoff,6519,6577,0.0089,30.27,31.7,5.59,5.69,false
219,pickup,2115,2409,0.139,68.66,72.87,12.818,13.448,false
220,dropoff,5679,5814,0.0238,61.06,60.63,12.624,12.537,false
220,pickup,663,889,0.3409,38.29,38.2,8.494,8.708,false
221,dropoff,316,306,-0.0316,86.58,89.41,17.481,17.868,false
221,pickup,19,16,-0.1579,57.24,36.15,9.184,12.629,true
222,dropoff,2226,2546,0.1438,39.68,38.74,8.279,8.279,false
222,pickup,1812,2027,0.1187,37.85,36.45,8.048,7.592,false
223,dropoff,17782,16979,-0.0452,37.65,37.95,6.457,6.476,false
223,pickup,2756,3160,0.1466,45.13,49.95,5.933,5.467,false
224,dropoff,59268,57743,-0.0257,22.65,23.51,2.939,2.96,false
224,pickup,15831,14703,-0.0713,20.25,20.62,2.416,2.413,false
225,dropoff,12446,13412,0.0776,44.1,43.38,8.115,7.946,false
225,pickup,2720,3428,0.2603,29.02,29.55,5.56,5.894,false
226,dropoff,22679,21573,-0.0488,34.05,33.9,5.646,5.48,false
226,pickup,9183,10900,0.187,36.97,46.81,4.833,5.784,false
227,dropoff,2563,2673,0.0429,62.36,58.55,13.526,12.452,false
227,pickup,487,721,0.4805,37.25,33.94,7.718,6.762,false
228,dropoff,6768,7088,0.0473,57.45,55.75,11.959,11.417,false
228,pickup,1018,1338,0.3143,37.16,35.19,7.745,6.876,false
229,dropoff,326314,320499,-0.0178,20.08,20.62,2.269,2.26,false
229,pickup,281174,259484,-0.0771,19.13,20.09,2.047,2.022,false
230,dropoff,483907,479380,-0.0094,28.24,28.01,3.583,3.402,false
230,pickup,529293,539131,0.0186,25.07,25.05,3.147,2.967,false
231,dropoff,238918,244888,0.025,25.28,25.73,3.567,3.576,false
231,pickup,202517,202124,-0.0019,23.57,23.95,3.053,3.024,false
232,dropoff,66272,65165,-0.0167,25.99,26.33,3.757,3.745,false
232,pickup,15445,15619,0.0113,25.17,25.37,3.463,3.489,false
233,dropoff,235176,222459,-0.0541,21.82,22.55,2.586,2.578,false
233,pickup,183221,163338,-0.1085,22.55,22.65,2.69,2.637,false
234,dropoff,364850,379957,0.0414,19.32,20.03,2.061,2.056,false
234,pickup,412892,429550,0.0403,19.71,20.04,2.032,2.009,false
235,dropoff,2176,2307,0.0602,50.9,48.44,10.467,10.333,false
235,pickup,1201,1367,0.1382,39.72,37.74,8.609,8.789,false
236,dropoff,709331,721063,0.0165,18.78,19.09,2.083,2.078,false
236,pickup,674310,675844,0.0023,18.15,18.21,1.925,1.892,false
237,dropoff,671353,700174,0.0429,17.96,18.32,1.767,1.769,false
237,pickup,749585,788406,0.0518,17.79,18.03,1.76,1.737,false
238,dropoff,348023,337245,-0.031,21.0,21.46,2.702,2.749,false
238,pickup,297625,275668,-0.0738,18.54,18.52,2.173,2.134,false
239,dropoff,438589,428765,-0.0224,20.87,21.17,2.573,2.581,false
239,pickup,434344,404736,-0.0682,18.8,18.81,2.147,2.104,false
240,dropoff,450,398,-0.1156,56.48,55.11,12.057,12.412,false
240,pickup,59,117,0.9831,51.52,42.4,7.214,9.893,true
241,dropoff,2292,2128,-0.0716,60.73,58.41,13.0,12.62,false
241,pickup,802,984,0.2269,40.88,40.87,9.042,9.592,false
242,dropoff,2321,2461,0.0603,51.89,48.43,10.718,10.104,false
242,pickup,789,1063,0.3473,38.11,38.09,8.506,8.823,false
243,dropoff,23375,22724,-0.0279,46.07,46.03,9.375,9.317,false
243,pickup,1939,2403,0.2393,30.03,29.09,5.499,5.532,false
244,dropoff,38093,35524,-0.0674,38.38,38.24,7.376,7.305,false
244,pickup,8188,9108,0.1124,27.38,27.18,4.873,4.862,false
245,dropoff,173,175,0.0116,104.37,107.63,21.169,21.499,false
245,pickup,7,2,-0.7143,56.95,47.09,9.944,8.75,true
246,dropoff,296601,297382,0.0026,20.07,21.04,2.211,2.187,false
246,pickup,259679,263311,0.014,21.56,21.77,2.349,2.325,false
247,dropoff,5065,5288,0.044,42.77,42.09,7.801,7.654,false
247,pickup,1511,1886,0.2482,33.25,36.58,6.217,6.953,false
248,dropoff,1273,1093,-0.1414,52.49,52.5,10.74,10.991,false
248,pickup,540,678,0.2556,36.33,37.76,8.089,9.107,false
249,dropoff,265543,268785,0.0122,19.45,20.09,2.158,2.162,false
249,pickup,349478,333061,-0.047,19.87,20.14,2.212,2.154,false
250,dropoff,1366,1420,0.0395,54.65,52.25,11.406,11.095,false
250,pickup,513,711,0.386,37.23,38.19,7.973,8.966,false
251,dropoff,205,210,0.0244,101.66,110.44,20.434,21.518,false
251,pickup,7,6,-0.1429,93.64,206.81,11.794,23.077,true
252,dropoff,2797,2765,-0.0114,48.36,48.34,10.083,10.085,false
252,pickup,231,203,-0.1212,44.8,42.69,8.852,9.443,false
253,dropoff,189,224,0.1852,43.14,44.6,8.26,8.882,false
253,pickup,50,56,0.12,61.08,51.42,9.274,7.456,true
254,dropoff,2202,2404,0.0917,62.23,59.97,13.649,13.829,false
254,pickup,1146,1511,0.3185,43.59,44.49,9.876,11.283,false
255,dropoff,36954,38096,0.0309,41.85,42.37,7.345,7.403,false
255,pickup,3315,4939,0.4899,25.0,25.15,3.705,3.594,false
256,dropoff,31538,32765,0.0389,37.96,38.16,6.489,6.483,false
256,pickup,2913,3798,0.3038,27.68,29.15,3.893,4.272,false
257,dropoff,6366,6574,0.0327,60.6,60.4,12.398,12.372,false
257,pickup,365,475,0.3014,34.64,34.1,6.492,6.818,false
258,dropoff,3335,3070,-0.0795,40.35,39.4,7.949,7.762,false
258,pickup,690,755,0.0942,37.62,38.94,7.677,7.39,false
259,dropoff,1644,1596,-0.0292,71.07,68.17,15.971,15.479,false
259,pickup,556,759,0.3651,46.74,47.26,11.282,12.197,false
260,dropoff,9814,9108,-0.0719,35.3,36.06,5.98,6.262,false
260,pickup,2872,3272,0.1393,37.07,40.67,4.449,4.729,false
261,dropoff,71347,71058,-0.0041,32.75,32.96,5.622,5.52,false
261,pickup,76377,74918,-0.0191,29.3,29.0,4.268,4.131,false
262,dropoff,234222,233325,-0.0038,22.02,22.33,2.805,2.776,false
262,pickup,197124,191613,-0.028,19.15,19.19,2.331,2.286,false
263,dropoff,316136,312442,-0.0117,20.63,21.02,2.588,2.617,false
263,pickup,282925,274820,-0.0286,19.33,18.14,2.114,2.074,false
264,dropoff,73221,40813,-0.4426,23.74,22.98,2.896,2.766,false
264,pickup,50779,33133,-0.3475,25.61,27.64,3.568,3.948,false
265,dropoff,61074,65816,0.0776,114.0,114.18,19.044,18.706,false
265,pickup,3099,3372,0.0881,77.91,79.62,7.019,6.4,false
