zone,direction,n_2024,n_2025,pct_volume_change,avg_total_cost_2024,avg_total_cost_2025,avg_base_fare_2024,avg_base_fare_2025,low_n_flag
1,dropoff,707024,689162,-0.02526364027246597,109.54665760994084,109.90776064264811,81.22854391081503,84.21988766066582,false
1,pickup,3,4,0.33333333333333326,83.06666666666666,67.31750000000001,77.29333333333334,58.4,true
2,dropoff,266,251,-0.05639097744360899,42.01853383458647,36.576135458167336,36.468233082706774,32.12681274900399,false
2,pickup,231,246,0.06493506493506485,34.02922077922078,36.664552845528455,29.709350649350647,32.038658536585366,false
3,dropoff,210010,221362,0.05405456883005577,20.630631493737454,20.729421761638378,17.98241302795111,18.105222983167796,false
3,pickup,220720,232846,0.054938383472272534,21.863825253714072,21.83834229490633,18.9577889633925,18.963617240579545,false
4,dropoff,271542,242158,-0.10821162103836612,27.556651052136548,30.662247540860072,21.96690836040101,23.422892491679033,false
4,pickup,321394,287870,-0.10430810780537281,30.098811023226958,33.8653688470463,24.01481872716974,26.088916420606502,false
5,dropoff,26663,26778,0.00431309305029437,29.724635262348627,30.30419598177616,24.443839402917924,25.052082679811782,false
5,pickup,29453,29258,-0.006620717753709315,29.651238583506046,30.29949723152648,24.910607408413398,25.825085446715427,false
6,dropoff,57620,61598,0.06903852828878865,25.798189517528677,25.835502776064228,20.283226830961446,20.332824604694977,false
6,pickup,54485,59094,0.08459208956593556,25.890630265210692,26.23991572748515,22.049220886482523,22.548331810336112,false
7,dropoff,958114,948991,-0.009521831431332783,23.72289680560209,24.06682851576261,20.118054469510014,20.336353126636194,false
7,pickup,976543,963673,-0.013179143161130669,24.55029247048413,24.66928581583546,20.75419876032044,20.83547538428431,false
8,dropoff,4467,5492,0.22946048802328178,23.700599955227204,23.23504734158775,20.1656122677412,19.869175163874715,false
8,pickup,4377,3905,-0.1078364176376514,25.682501713502372,25.543528809218927,21.71061686086361,21.64327272727272,false
9,dropoff,86393,89715,0.03845218941349415,24.548820506290824,24.78431455163556,21.36010035535284,21.611952293373456,false
9,pickup,85527,92062,0.07640861950027467,25.148820372513843,25.169431687340946,21.87260023150587,21.998936043101377,false
10,dropoff,274279,287750,0.0491142231085866,23.092920019394608,23.443662589051428,20.15428807892705,20.525899565595054,false
10,pickup,325502,337601,0.037170278523634304,23.644626822567684,24.130565430787016,20.527064472722284,21.032441076892503,false
11,dropoff,107766,114971,0.06685782157637843,23.98890419984003,23.9177744822604,20.95102741124291,20.915978725069785,false
11,pickup,108292,116283,0.07379123111587194,24.146730506408264,24.335763009209895,20.742997820706954,20.93994177996782,false
12,dropoff,18328,16727,-0.08735268441728505,36.299347446529936,40.440675554492806,29.521684308162378,31.878005021820996,false
12,pickup,11650,9687,-0.16849785407725326,41.0730660944206,45.29035098585735,33.299978540772514,35.801366780220924,false
13,dropoff,415290,388909,-0.0635242842351128,35.85267824893208,40.05442684535291,29.024393893423763,31.549943251506374,false
13,pickup,456005,437117,-0.04142059845835022,43.13690200765167,47.76951397452019,34.730569686735834,37.88040945559204,false
14,dropoff,550156,565264,0.027461301885283396,26.05778017507454,26.326847030763343,22.47414089821713,22.73597756092641,false
14,pickup,526200,549762,0.04477765108323828,26.761948042561773,26.802857145451565,22.543787267197676,22.57312187819376,false
