zone,direction,year,month,n_trips,Borough,zone_name,crz_zone,charged_share_2023,charged_share_2024,charged_share
1,dropoff,2023,2,7620,EWR,Newark Airport,false,0.7706,0.7876,0.7706
1,dropoff,2023,3,9124,EWR,Newark Airport,false,0.7706,0.7876,0.7706
1,dropoff,2023,4,9525,EWR,Newark Airport,false,0.7706,0.7876,0.7706
1,dropoff,2023,5,10882,EWR,Newark Airport,false,0.7706,0.7876,0.7706
1,dropoff,2023,6,9828,EWR,Newark Airport,false,0.7706,0.7876,0.7706
1,dropoff,2024,2,6573,EWR,Newark Airport,false,0.7706,0.7876,0.7706
1,dropoff,2024,3,7975,EWR,Newark Airport,false,0.7706,0.7876,0.7706
1,dropoff,2024,4,8819,EWR,Newark Airport,false,0.7706,0.7876,0.7706
1,dropoff,2024,5,10074,EWR,Newark Airport,false,0.7706,0.7876,0.7706
1,dropoff,2024,6,8779,EWR,Newark Airport,false,0.7706,0.7876,0.7706
1,pickup,2023,2,385,EWR,Newark Airport,false,0.0168,0.0106,0.0168
1,pickup,2023,3,405,EWR,Newark Airport,false,0.0168,0.0106,0.0168
1,pickup,2023,4,434,EWR,Newark Airport,false,0.0168,0.0106,0.0168
1,pickup,2023,5,473,EWR,Newark Airport,false,0.0168,0.0106,0.0168
1,pickup,2023,6,450,EWR,Newark Airport,false,0.0168,0.0106,0.0168
1,pickup,2024,2,278,EWR,Newark Airport,false,0.0168,0.0106,0.0168
1,pickup,2024,3,352,EWR,Newark Airport,false,0.0168,0.0106,0.0168
1,pickup,2024,4,496,EWR,Newark Airport,false,0.0168,0.0106,0.0168
1,pickup,2024,5,580,EWR,Newark Airport,false,0.0168,0.0106,0.0168
1,pickup,2024,6,467,EWR,Newark Airport,false,0.0168,0.0106,0.0168
2,dropoff,2023,2,2,Queens,Jamaica Bay,false,0.2222,0.0625,0.2222
2,dropoff,2023,3,7,Queens,Jamaica Bay,false,0.2222,0.0625,0.2222
2,dropoff,2023,4,4,Queens,Jamaica Bay,false,0.2222,0.0625,0.2222
