zone,direction,year,month,n_trips,log_n_trips,post,Borough,zone_name,service_zone,crz_zone,charged_share_2024_geo
2,dropoff,2025,5,74,4.30406509320417,1,Queens,Jamaica Bay,Boro Zone,false,0.0789
2,dropoff,2025,6,58,4.060443010546419,1,Queens,Jamaica Bay,Boro Zone,false,0.0789
2,pickup,2024,2,26,3.258096538021482,0,Queens,Jamaica Bay,Boro Zone,false,0.0606
2,pickup,2024,3,31,3.4339872044851463,0,Queens,Jamaica Bay,Boro Zone,false,0.0606
2,pickup,2024,4,49,3.8918202981106265,0,Queens,Jamaica Bay,Boro Zone,false,0.0606
2,pickup,2024,5,58,4.060443010546419,0,Queens,Jamaica Bay,Boro Zone,false,0.0606
2,pickup,2024,6,67,4.204692619390966,0,Queens,Jamaica Bay,Boro Zone,false,0.0606
2,pickup,2025,2,20,2.995732273553991,1,Queens,Jamaica Bay,Boro Zone,false,0.0606
2,pickup,2025,3,40,3.6888794541139363,1,Queens,Jamaica Bay,Boro Zone,false,0.0606
2,pickup,2025,4,52,3.9512437185814275,1,Queens,Jamaica Bay,Boro Zone,false,0.0606
2,pickup,2025,5,70,4.248495242049359,1,Queens,Jamaica Bay,Boro Zone,false,0.0606
2,pickup,2025,6,64,4.1588830833596715,1,Queens,Jamaica Bay,Boro Zone,false,0.0606
3,dropoff,2024,2,40404,10.606684068949075,0,Bronx,Allerton/Pelham Gardens,Boro Zone,false,0.0277
3,dropoff,2024,3,44480,10.702794928924463,0,Bronx,Allerton/Pelham Gardens,Boro Zone,false,0.0277
3,dropoff,2024,4,41204,10.626290618003583,0,Bronx,Allerton/Pelham Gardens,Boro Zone,false,0.0277
3,dropoff,2024,5,43085,10.670930187673868,0,Bronx,Allerton/Pelham Gardens,Boro Zone,false,0.0277
3,dropoff,2024,6,40837,10.617343812185764,0,Bronx,Allerton/Pelham Gardens,Boro Zone,false,0.0277
3,dropoff,2025,2,42417,10.65530450425995,1,Bronx,Allerton/Pelham Gardens,Boro Zone,false,0.0277
3,dropoff,2025,3,45630,10.728320673921449,1,Bronx,Allerton/Pelham Gardens,Boro Zone,false,0.0277
3,dropoff,2025,4,42932,10.667372747601416,1,Bronx,Allerton/Pelham Gardens,Boro Zone,false,0.0277
3,dropoff,2025,5,46553,10.74834672745997,1,Bronx,Allerton/Pelham Gardens,Boro Zone,false,0.0277
3,dropoff,2025,6,43830,10.688073793412855,1,Bronx,Allerton/Pelham Gardens,Boro Zone,false,0.0277
3,pickup,2024,2,42764,10.66345190613339,0,Bronx,Allerton/Pelham Gardens,Boro Zone,false,0.0216
3,pickup,2024,3,47183,10.761788937205512,0,Bronx,Allerton/Pelham Gardens,Boro Zone,false,0.0216
3,pickup,2024,4,43761,10.686498288754322,0,Bronx,Allerton/Pelham Gardens,Boro Zone,false,0.0216
3,pickup,2024,5,44491,10.7030422005086,0,Bronx,Allerton/Pelham Gardens,Boro Zone,false,0.0216
3,pickup,2024,6,42521,10.657753350523642,0,Bronx,Allerton/Pelham Gardens,Boro Zone,false,0.0216
3,pickup,2025,2,44180,10.696027476974109,1,Bronx,Allerton/Pelham Gardens,Boro Zone,false,0.0216
3,pickup,2025,3,48079,10.78060077032391,1,Bronx,Allerton/Pelham Gardens,Boro Zone,false,0.0216
3,pickup,2025,4,45532,10.726170654445108,1,Bronx,Allerton/Pelham Gardens,Boro Zone,false,0.0216
3,pickup,2025,5,48631,10.792016466624613,1,Bronx,Allerton/Pelham Gardens,Boro Zone,false,0.0216
3,pickup,2025,6,46424,10.745571845870444,1,Bronx,Allerton/Pelham Gardens,Boro Zone,false,0.0216
4,dropoff,2024,2,55485,10.923867992934664,0,Manhattan,Alphabet City,Yellow Zone,true,1.0
4,dropoff,2024,3,58241,10.97234485305283,0,Manhattan,Alphabet City,Yellow Zone,true,1.0
4,dropoff,2024,4,52798,10.874228590189055,0,Manhattan,Alphabet City,Yellow Zone,true,1.0
4,dropoff,2024,5,53029,10.878594212702763,0,Manhattan,Alphabet City,Yellow Zone,true,1.0
4,dropoff,2024,6,51989,10.85878743672461,0,Manhattan,Alphabet City,Yellow Zone,true,1.0
4,dropoff,2025,2,50169,10.823152585049232,1,Manhattan,Alphabet City,Yellow Zone,true,1.0
4,dropoff,2025,3,50478,10.829292876778869,1,Manhattan,Alphabet City,Yellow Zone,true,1.0
4,dropoff,2025,4,48499,10.789298458156308,1,Manhattan,Alphabet City,Yellow Zone,true,1.0
4,dropoff,2025,5,49180,10.803242315770184,1,Manhattan,Alphabet City,Yellow Zone,true,1.0
4,dropoff,2025,6,43832,10.688119423218252,1,Manhattan,Alphabet City,Yellow Zone,true,1.0
4,pickup,2024,2,64380,11.0725583048528,0,Manhattan,Alphabet City,Yellow Zone,true,1.0
4,pickup,2024,3,68928,11.140817760516061,0,Manhattan,Alphabet City,Yellow Zone,true,1.0
4,pickup,2024,4,62656,11.045414725890183,0,Manhattan,Alphabet City,Yellow Zone,true,1.0
4,pickup,2024,5,63963,11.066060070163115,0,Manhattan,Alphabet City,Yellow Zone,true,1.0
4,pickup,2024,6,61467,11.026255724415309,0,Manhattan,Alphabet City,Yellow Zone,true,1.0
4,pickup,2025,2,59312,10.990566925390514,1,Manhattan,Alphabet City,Yellow Zone,true,1.0
4,pickup,2025,3,60072,11.00329912177972,1,Manhattan,Alphabet City,Yellow Zone,true,1.0
4,pickup,2025,4,57675,10.962579083041954,1,Manhattan,Alphabet City,Yellow Zone,true,1.0
4,pickup,2025,5,58644,10.979240547058156,1,Manhattan,Alphabet City,Yellow Zone,true,1.0
4,pickup,2025,6,52167,10.862205390050178,1,Manhattan,Alphabet City,Yellow Zone,true,1.0
5,dropoff,2024,2,4887,8.494333897270154,0,Staten Island,Arden Heights,Boro Zone,false,0.0408
5,dropoff,2024,3,5606,8.631592731724734,0,Staten Island,Arden Heights,Boro Zone,false,0.0408
5,dropoff,2024,4,5199,8.556221578383715,0,Staten Island,Arden Heights,Boro Zone,false,0.0408
5,dropoff,2024,5,5492,8.61104776688786,0,Staten Island,Arden Heights,Boro Zone,false,0.0408
5,dropoff,2024,6,5479,8.608677881538416,0,Staten Island,Arden Heights,Boro Zone,false,0.0408
5,dropoff,2025,2,4855,8.487764380725425,1,Staten Island,Arden Heights,Boro Zone,false,0.0408
5,dropoff,2025,3,5379,8.590257762273243,1,Staten Island,Arden Heights,Boro Zone,false,0.0408
5,dropoff,2025,4,5061,8.529319371214077,1,Staten Island,Arden Heights,Boro Zone,false,0.0408
5,dropoff,2025,5,5782,8.662504922576291,1,Staten Island,Arden Heights,Boro Zone,false,0.0408
5,dropoff,2025,6,5701,8.648396877031582,1,Staten Island,Arden Heights,Boro Zone,false,0.0408
5,pickup,2024,2,5300,8.575462099540212,0,Staten Island,Arden Heights,Boro Zone,false,0.0202
5,pickup,2024,3,6023,8.70334075304372,0,Staten Island,Arden Heights,Boro Zone,false,0.0202
5,pickup,2024,4,5682,8.645058562414134,0,Staten Island,Arden Heights,Boro Zone,false,0.0202
5,pickup,2024,5,6226,8.736489351001554,0,Staten Island,Arden Heights,Boro Zone,false,0.0202
5,pickup,2024,6,6222,8.735846677457582,0,Staten Island,Arden Heights,Boro Zone,false,0.0202
5,pickup,2025,2,5488,8.610319169405722,1,Staten Island,Arden Heights,Boro Zone,false,0.0202
5,pickup,2025,3,5880,8.679312040892672,1,Staten Island,Arden Heights,Boro Zone,false,0.0202
5,pickup,2025,4,5467,8.606485298894999,1,Staten Island,Arden Heights,Boro Zone,false,0.0202
5,pickup,2025,5,6273,8.744009988096744,1,Staten Island,Arden Heights,Boro Zone,false,0.0202
5,pickup,2025,6,6150,8.724207360800564,1,Staten Island,Arden Heights,Boro Zone,false,0.0202
6,dropoff,2024,2,10724,9.28023949935585,0,Staten Island,Arrochar/Fort Wadsworth,Boro Zone,false,0.0431
6,dropoff,2024,3,12122,9.402777262511231,0,Staten Island,Arrochar/Fort Wadsworth,Boro Zone,false,0.0431
6,dropoff,2024,4,11188,9.32259705432185,0,Staten Island,Arrochar/Fort Wadsworth,Boro Zone,false,0.0431
6,dropoff,2024,5,12040,9.395989718862811,0,Staten Island,Arrochar/Fort Wadsworth,Boro Zone,false,0.0431
6,dropoff,2024,6,11546,9.354094335620879,0,Staten Island,Arrochar/Fort Wadsworth,Boro Zone,false,0.0431
6,dropoff,2025,2,11553,9.354700422483019,1,Staten Island,Arrochar/Fort Wadsworth,Boro Zone,false,0.0431
6,dropoff,2025,3,12515,9.434683203865875,1,Staten Island,Arrochar/Fort Wadsworth,Boro Zone,false,0.0431
6,dropoff,2025,4,12298,9.417191926513414,1,Staten Island,Arrochar/Fort Wadsworth,Boro Zone,false,0.0431
6,dropoff,2025,5,12905,9.465370112152714,1,Staten Island,Arrochar/Fort Wadsworth,Boro Zone,false,0.0431
6,dropoff,2025,6,12327,9.41954725755152,1,Staten Island,Arrochar/Fort Wadsworth,Boro Zone,false,0.0431
6,pickup,2024,2,10005,9.210840247017833,0,Staten Island,Arrochar/Fort Wadsworth,Boro Zone,false,0.0327
6,pickup,2024,3,11408,9.342070142654077,0,Staten Island,Arrochar/Fort Wadsworth,Boro Zone,false,0.0327
6,pickup,2024,4,10363,9.245997049184217,0,Staten Island,Arrochar/Fort Wadsworth,Boro Zone,false,0.0327
6,pickup,2024,5,11475,9.347926034928745,0,Staten Island,Arrochar/Fort Wadsworth,Boro Zone,false,0.0327
6,pickup,2024,6,11234,9.326700173092378,0,Staten Island,Arrochar/Fort Wadsworth,Boro Zone,false,0.0327
6,pickup,2025,2,10958,9.301825062098361,1,Staten Island,Arrochar/Fort Wadsworth,Boro Zone,false,0.0327
6,pickup,2025,3,11944,9.387984339219026,1,Staten Island,Arrochar/Fort Wadsworth,Boro Zone,false,0.0327
6,pickup,2025,4,11574,9.356516482133785,1,Staten Island,Arrochar/Fort Wadsworth,Boro Zone,false,0.0327
6,pickup,2025,5,12663,9.44643963445061,1,Staten Island,Arrochar/Fort Wadsworth,Boro Zone,false,0.0327
6,pickup,2025,6,11955,9.388904879892426,1,Staten Island,Arrochar/Fort Wadsworth,Boro Zone,false,0.0327
7,dropoff,2024,2,179018,12.095241638426426,0,Queens,Astoria,Boro Zone,false,0.1317
7,dropoff,2024,3,207523,12.242997455883712,0,Queens,Astoria,Boro Zone,false,0.1317
7,dropoff,2024,4,186246,12.134823659501116,0,Queens,Astoria,Boro Zone,false,0.1317
7,dropoff,2024,5,193703,12.174081337142988,0,Queens,Astoria,Boro Zone,false,0.1317
7,dropoff,2024,6,191624,12.163290397634732,0,Queens,Astoria,Boro Zone,false,0.1317
7,dropoff,2025,2,179839,12.099817285173783,1,Queens,Astoria,Boro Zone,false,0.1317
7,dropoff,2025,3,192801,12.169413847867123,1,Queens,Astoria,Boro Zone,false,0.1317
7,dropoff,2025,4,183898,12.122136535057471,1,Queens,Astoria,Boro Zone,false,0.1317
7,dropoff,2025,5,205809,12.234703833204305,1,Queens,Astoria,Boro Zone,false,0.1317
7,dropoff,2025,6,186644,12.136958338098747,1,Queens,Astoria,Boro Zone,false,0.1317
7,pickup,2024,2,182025,12.111899319262912,0,Queens,Astoria,Boro Zone,false,0.1006
7,pickup,2024,3,209756,12.25370022940304,0,Queens,Astoria,Boro Zone,false,0.1006
7,pickup,2024,4,190562,12.157732879916082,0,Queens,Astoria,Boro Zone,false,0.1006
7,pickup,2024,5,197636,12.194182233936825,0,Queens,Astoria,Boro Zone,false,0.1006
7,pickup,2024,6,196564,12.188743357008352,0,Queens,Astoria,Boro Zone,false,0.1006
7,pickup,2025,2,183849,12.121870047497874,1,Queens,Astoria,Boro Zone,false,0.1006
7,pickup,2025,3,196356,12.187684617216895,1,Queens,Astoria,Boro Zone,false,0.1006
7,pickup,2025,4,187065,12.139211429022957,1,Queens,Astoria,Boro Zone,false,0.1006
7,pickup,2025,5,205738,12.234358793630676,1,Queens,Astoria,Boro Zone,false,0.1006
7,pickup,2025,6,190665,12.158273240396879,1,Queens,Astoria,Boro Zone,false,0.1006
8,dropoff,2024,2,410,6.016157159698354,0,Queens,Astoria Park,Boro Zone,false,0.0672
8,dropoff,2024,3,572,6.349138991379798,0,Queens,Astoria Park,Boro Zone,false,0.0672
8,dropoff,2024,4,849,6.744059186311348,0,Queens,Astoria Park,Boro Zone,false,0.0672
8,dropoff,2024,5,873,6.771935555839602,0,Queens,Astoria Park,Boro Zone,false,0.0672
8,dropoff,2024,6,1763,7.47477218239787,0,Queens,Astoria Park,Boro Zone,false,0.0672
8,dropoff,2025,2,368,5.908082938168931,1,Queens,Astoria Park,Boro Zone,false,0.0672
8,dropoff,2025,3,711,6.566672429803241,1,Queens,Astoria Park,Boro Zone,false,0.0672
8,dropoff,2025,4,903,6.805722553416985,1,Queens,Astoria Park,Boro Zone,false,0.0672
8,dropoff,2025,5,1205,7.094234845924755,1,Queens,Astoria Park,Boro Zone,false,0.0672
8,dropoff,2025,6,2305,7.742835955430749,1,Queens,Astoria Park,Boro Zone,false,0.0672
8,pickup,2024,2,501,6.2166061010848646,0,Queens,Astoria Park,Boro Zone,false,0.0763
8,pickup,2024,3,659,6.490723534502507,0,Queens,Astoria Park,Boro Zone,false,0.0763
8,pickup,2024,4,746,6.61472560020376,0,Queens,Astoria Park,Boro Zone,false,0.0763
8,pickup,2024,5,944,6.8501261661455,0,Queens,Astoria Park,Boro Zone,false,0.0763
8,pickup,2024,6,1527,7.3310603052186325,0,Queens,Astoria Park,Boro Zone,false,0.0763
8,pickup,2025,2,385,5.953243334287785,1,Queens,Astoria Park,Boro Zone,false,0.0763
8,pickup,2025,3,587,6.375024819828097,1,Queens,Astoria Park,Boro Zone,false,0.0763
8,pickup,2025,4,711,6.566672429803241,1,Queens,Astoria Park,Boro Zone,false,0.0763
8,pickup,2025,5,928,6.833031732786201,1,Queens,Astoria Park,Boro Zone,false,0.0763
8,pickup,2025,6,1294,7.165493475060845,1,Queens,Astoria Park,Boro Zone,false,0.0763
9,dropoff,2024,2,15996,9.680093969966709,0,Queens,Auburndale,Boro Zone,false,0.0452
9,dropoff,2024,3,17617,9.77661962392714,0,Queens,Auburndale,Boro Zone,false,0.0452
9,dropoff,2024,4,16573,9.715530144123544,0,Queens,Auburndale,Boro Zone,false,0.0452
9,dropoff,2024,5,18729,9.837828403729853,0,Queens,Auburndale,Boro Zone,false,0.0452
9,dropoff,2024,6,17478,9.768698226187489,0,Queens,Auburndale,Boro Zone,false,0.0452
9,dropoff,2025,2,16283,9.697876897764221,1,Queens,Auburndale,Boro Zone,false,0.0452
9,dropoff,2025,3,17979,9.796959689126295,1,Queens,Auburndale,Boro Zone,false,0.0452
9,dropoff,2025,4,17265,9.756436609824092,1,Queens,Auburndale,Boro Zone,false,0.0452
9,dropoff,2025,5,19570,9.881753060390121,1,Queens,Auburndale,Boro Zone,false,0.0452
9,dropoff,2025,6,18618,9.831884133676436,1,Queens,Auburndale,Boro Zone,false,0.0452
9,pickup,2024,2,15802,9.667891793282678,0,Queens,Auburndale,Boro Zone,false,0.0299
9,pickup,2024,3,17614,9.776449319365405,0,Queens,Auburndale,Boro Zone,false,0.0299
9,pickup,2024,4,16273,9.697262571660614,0,Queens,Auburndale,Boro Zone,false,0.0299
9,pickup,2024,5,18288,9.814000386034591,0,Queens,Auburndale,Boro Zone,false,0.0299
9,pickup,2024,6,17550,9.772809228894012,0,Queens,Auburndale,Boro Zone,false,0.0299
9,pickup,2025,2,16628,9.718843300372528,1,Queens,Auburndale,Boro Zone,false,0.0299
9,pickup,2025,3,18338,9.816730688609846,1,Queens,Auburndale,Boro Zone,false,0.0299
9,pickup,2025,4,17704,9.781545881730885,1,Queens,Auburndale,Boro Zone,false,0.0299
9,pickup,2025,5,20030,9.904986428659864,1,Queens,Auburndale,Boro Zone,false,0.0299
9,pickup,2025,6,19362,9.871067661280017,1,Queens,Auburndale,Boro Zone,false,0.0299
10,dropoff,2024,2,50139,10.822554427357035,0,Queens,Baisley Park,Boro Zone,false,0.0247
10,dropoff,2024,3,57660,10.962318971192394,0,Queens,Baisley Park,Boro Zone,false,0.0247
10,dropoff,2024,4,52922,10.876574410409694,0,Queens,Baisley Park,Boro Zone,false,0.0247
10,dropoff,2024,5,57736,10.963636174752109,0,Queens,Baisley Park,Boro Zone,false,0.0247
10,dropoff,2024,6,55822,10.929923335900263,0,Queens,Baisley Park,Boro Zone,false,0.0247
10,dropoff,2025,2,52301,10.86477077032911,1,Queens,Baisley Park,Boro Zone,false,0.0247
10,dropoff,2025,3,57766,10.964155646288093,1,Queens,Baisley Park,Boro Zone,false,0.0247
10,dropoff,2025,4,56153,10.935835387056356,1,Queens,Baisley Park,Boro Zone,false,0.0247
10,dropoff,2025,5,61886,11.033049261848173,1,Queens,Baisley Park,Boro Zone,false,0.0247
10,dropoff,2025,6,59644,10.996148835710798,1,Queens,Baisley Park,Boro Zone,false,0.0247
10,pickup,2024,2,60192,11.005294732100756,0,Queens,Baisley Park,Boro Zone,false,0.018
10,pickup,2024,3,68299,11.131650404163263,0,Queens,Baisley Park,Boro Zone,false,0.018
10,pickup,2024,4,63332,11.056146009621324,0,Queens,Baisley Park,Boro Zone,false,0.018
10,pickup,2024,5,67924,11.126144712066191,0,Queens,Baisley Park,Boro Zone,false,0.018
10,pickup,2024,6,65755,11.093690992776065,0,Queens,Baisley Park,Boro Zone,false,0.018
10,pickup,2025,2,61552,11.027637624992076,1,Queens,Baisley Park,Boro Zone,false,0.018
10,pickup,2025,3,67893,11.125688215448855,1,Queens,Baisley Park,Boro Zone,false,0.018
10,pickup,2025,4,65493,11.089698545683305,1,Queens,Baisley Park,Boro Zone,false,0.018
10,pickup,2025,5,72546,11.191976122402302,1,Queens,Baisley Park,Boro Zone,false,0.018
10,pickup,2025,6,70117,11.157920554320716,1,Queens,Baisley Park,Boro Zone,false,0.018
11,dropoff,2024,2,20598,9.932949262685748,0,Brooklyn,Bath Beach,Boro Zone,false,0.0572
11,dropoff,2024,3,22710,10.030560635099604,0,Brooklyn,Bath Beach,Boro Zone,false,0.0572
11,dropoff,2024,4,21238,9.963547308963792,0,Brooklyn,Bath Beach,Boro Zone,false,0.0572
11,dropoff,2024,5,21968,9.997342128007752,0,Brooklyn,Bath Beach,Boro Zone,false,0.0572
11,dropoff,2024,6,21252,9.964206287570834,0,Brooklyn,Bath Beach,Boro Zone,false,0.0572
11,dropoff,2025,2,21751,9.987415012471414,1,Brooklyn,Bath Beach,Boro Zone,false,0.0572
11,dropoff,2025,3,23277,10.055221027562059,1,Brooklyn,Bath Beach,Boro Zone,false,0.0572
11,dropoff,2025,4,21795,9.989435864672492,1,Brooklyn,Bath Beach,Boro Zone,false,0.0572
11,dropoff,2025,5,23924,10.082637418164447,1,Brooklyn,Bath Beach,Boro Zone,false,0.0572
11,dropoff,2025,6,24224,10.095099156237175,1,Brooklyn,Bath Beach,Boro Zone,false,0.0572
11,pickup,2024,2,20771,9.941313062076109,0,Brooklyn,Bath Beach,Boro Zone,false,0.0384
11,pickup,2024,3,23037,10.044856897998653,0,Brooklyn,Bath Beach,Boro Zone,false,0.0384
11,pickup,2024,4,21044,9.954370762850697,0,Brooklyn,Bath Beach,Boro Zone,false,0.0384
11,pickup,2024,5,22056,10.001339952703633,0,Brooklyn,Bath Beach,Boro Zone,false,0.0384
11,pickup,2024,6,21384,9.970398257818754,0,Brooklyn,Bath Beach,Boro Zone,false,0.0384
11,pickup,2025,2,22004,9.99897953399535,1,Brooklyn,Bath Beach,Boro Zone,false,0.0384
11,pickup,2025,3,23800,10.077440859659566,1,Brooklyn,Bath Beach,Boro Zone,false,0.0384
11,pickup,2025,4,22440,10.018600359636633,1,Brooklyn,Bath Beach,Boro Zone,false,0.0384
11,pickup,2025,5,24372,10.101190211368385,1,Brooklyn,Bath Beach,Boro Zone,false,0.0384
11,pickup,2025,6,23667,10.0718369517632,1,Brooklyn,Bath Beach,Boro Zone,false,0.0384
12,dropoff,2024,2,2732,7.912789220690681,0,Manhattan,Battery Park,Yellow Zone,true,1.0
12,dropoff,2024,3,3672,8.20849175174038,0,Manhattan,Battery Park,Yellow Zone,true,1.0
12,dropoff,2024,4,3506,8.16223106548118,0,Manhattan,Battery Park,Yellow Zone,true,1.0
12,dropoff,2024,5,3932,8.276903481267057,0,Manhattan,Battery Park,Yellow Zone,true,1.0
12,dropoff,2024,6,4486,8.408716715080153,0,Manhattan,Battery Park,Yellow Zone,true,1.0
12,dropoff,2025,2,2554,7.845416036592485,1,Manhattan,Battery Park,Yellow Zone,true,1.0
12,dropoff,2025,3,3620,8.194229304819817,1,Manhattan,Battery Park,Yellow Zone,true,1.0
12,dropoff,2025,4,3341,8.114025442356757,1,Manhattan,Battery Park,Yellow Zone,true,1.0
12,dropoff,2025,5,3292,8.09925056179696,1,Manhattan,Battery Park,Yellow Zone,true,1.0
12,dropoff,2025,6,3920,8.273846932784508,1,Manhattan,Battery Park,Yellow Zone,true,1.0
12,pickup,2024,2,1781,7.484930283289661,0,Manhattan,Battery Park,Yellow Zone,true,1.0
12,pickup,2024,3,2300,7.7406644019172415,0,Manhattan,Battery Park,Yellow Zone,true,1.0
12,pickup,2024,4,2375,7.772752716468742,0,Manhattan,Battery Park,Yellow Zone,true,1.0
12,pickup,2024,5,2492,7.820840879907344,0,Manhattan,Battery Park,Yellow Zone,true,1.0
12,pickup,2024,6,2702,7.9017475185201445,0,Manhattan,Battery Park,Yellow Zone,true,1.0
12,pickup,2025,2,1322,7.186901020411631,1,Manhattan,Battery Park,Yellow Zone,true,1.0
12,pickup,2025,3,1824,7.508787170634276,1,Manhattan,Battery Park,Yellow Zone,true,1.0
12,pickup,2025,4,1950,7.575584651557793,1,Manhattan,Battery Park,Yellow Zone,true,1.0
12,pickup,2025,5,2210,7.700747794511798,1,Manhattan,Battery Park,Yellow Zone,true,1.0
12,pickup,2025,6,2381,7.7752758464868625,1,Manhattan,Battery Park,Yellow Zone,true,1.0
13,dropoff,2024,2,78662,11.272915471546117,0,Manhattan,Battery Park City,Yellow Zone,true,1.0
13,dropoff,2024,3,84794,11.34798006455978,0,Manhattan,Battery Park City,Yellow Zone,true,1.0
13,dropoff,2024,4,83225,11.329303062443225,0,Manhattan,Battery Park City,Yellow Zone,true,1.0
13,dropoff,2024,5,84867,11.348840604159392,0,Manhattan,Battery Park City,Yellow Zone,true,1.0
13,dropoff,2024,6,83742,11.3354959227367,0,Manhattan,Battery Park City,Yellow Zone,true,1.0
13,dropoff,2025,2,74209,11.214640715600513,1,Manhattan,Battery Park City,Yellow Zone,true,1.0
13,dropoff,2025,3,78346,11.268890193513466,1,Manhattan,Battery Park City,Yellow Zone,true,1.0
13,dropoff,2025,4,79460,11.28300902936859,1,Manhattan,Battery Park City,Yellow Zone,true,1.0
13,dropoff,2025,5,79281,11.280753782446014,1,Manhattan,Battery Park City,Yellow Zone,true,1.0
13,dropoff,2025,6,77613,11.25949021791363,1,Manhattan,Battery Park City,Yellow Zone,true,1.0
13,pickup,2024,2,87439,11.378696686371484,0,Manhattan,Battery Park City,Yellow Zone,true,1.0
13,pickup,2024,3,92757,11.43773844931995,0,Manhattan,Battery Park City,Yellow Zone,true,1.0
13,pickup,2024,4,90872,11.417207201911257,0,Manhattan,Battery Park City,Yellow Zone,true,1.0
13,pickup,2024,5,93161,11.44208445816136,0,Manhattan,Battery Park City,Yellow Zone,true,1.0
13,pickup,2024,6,91776,11.427106104519238,0,Manhattan,Battery Park City,Yellow Zone,true,1.0
13,pickup,2025,2,84722,11.347130587173226,1,Manhattan,Battery Park City,Yellow Zone,true,1.0
13,pickup,2025,3,88003,11.385126183788353,1,Manhattan,Battery Park City,Yellow Zone,true,1.0
13,pickup,2025,4,87762,11.382383884115143,1,Manhattan,Battery Park City,Yellow Zone,true,1.0
13,pickup,2025,5,88622,11.392135412767834,1,Manhattan,Battery Park City,Yellow Zone,true,1.0
13,pickup,2025,6,88008,11.385182998419271,1,Manhattan,Battery Park City,Yellow Zone,true,1.0
14,dropoff,2024,2,102253,11.535205413327944,0,Brooklyn,Bay Ridge,Boro Zone,false,0.0913
14,dropoff,2024,3,114774,11.650720256380708,0,Brooklyn,Bay Ridge,Boro Zone,false,0.0913
14,dropoff,2024,4,108218,11.591902990153656,0,Brooklyn,Bay Ridge,Boro Zone,false,0.0913
14,dropoff,2024,5,113758,11.64182866401051,0,Brooklyn,Bay Ridge,Boro Zone,false,0.0913
14,dropoff,2024,6,111153,11.61866290958141,0,Brooklyn,Bay Ridge,Boro Zone,false,0.0913
14,dropoff,2025,2,108696,11.596310273904159,1,Brooklyn,Bay Ridge,Boro Zone,false,0.0913
14,dropoff,2025,3,113669,11.641045995246088,1,Brooklyn,Bay Ridge,Boro Zone,false,0.0913
14,dropoff,2025,4,109724,11.60572340082158,1,Brooklyn,Bay Ridge,Boro Zone,false,0.0913
14,dropoff,2025,5,119432,11.690502450733426,1,Brooklyn,Bay Ridge,Boro Zone,false,0.0913
14,dropoff,2025,6,113743,11.64169679645809,1,Brooklyn,Bay Ridge,Boro Zone,false,0.0913
14,pickup,2024,2,98415,11.496948510447087,0,Brooklyn,Bay Ridge,Boro Zone,false,0.068
14,pickup,2024,3,110664,11.614253862554651,0,Brooklyn,Bay Ridge,Boro Zone,false,0.068
14,pickup,2024,4,101859,11.531344782993978,0,Brooklyn,Bay Ridge,Boro Zone,false,0.068
14,pickup,2024,5,108580,11.595242507459442,0,Brooklyn,Bay Ridge,Boro Zone,false,0.068
