zone,direction,year,month,n_trips,log_n_trips,post,Borough,zone_name,service_zone,crz_zone,charged_share_2024_geo
1,dropoff,2024,2,127130,11.752965463944168,0,EWR,Newark Airport,EWR,false,0.6713
1,dropoff,2024,3,141385,11.859241944780736,0,EWR,Newark Airport,EWR,false,0.6713
1,dropoff,2024,4,142899,11.869893365992844,0,EWR,Newark Airport,EWR,false,0.6713
1,dropoff,2024,5,155973,11.957438194329058,0,EWR,Newark Airport,EWR,false,0.6713
1,dropoff,2024,6,139637,11.846801477172667,0,EWR,Newark Airport,EWR,false,0.6713
1,dropoff,2025,2,135871,11.819461185167732,1,EWR,Newark Airport,EWR,false,0.6713
1,dropoff,2025,3,156031,11.957809984438596,1,EWR,Newark Airport,EWR,false,0.6713
1,dropoff,2025,4,132712,11.79593664577211,1,EWR,Newark Airport,EWR,false,0.6713
1,dropoff,2025,5,130495,11.779090190834633,1,EWR,Newark Airport,EWR,false,0.6713
1,dropoff,2025,6,134053,11.805990523122746,1,EWR,Newark Airport,EWR,false,0.6713
1,pickup,2024,2,1,0.0,0,EWR,Newark Airport,EWR,false,0.0
1,pickup,2024,4,1,0.0,0,EWR,Newark Airport,EWR,false,0.0
1,pickup,2024,5,1,0.0,0,EWR,Newark Airport,EWR,false,0.0
1,pickup,2025,2,1,0.0,1,EWR,Newark Airport,EWR,false,0.0
1,pickup,2025,3,2,0.6931471805599453,1,EWR,Newark Airport,EWR,false,0.0
1,pickup,2025,5,1,0.0,1,EWR,Newark Airport,EWR,false,0.0
2,dropoff,2024,2,34,3.5263605246161616,0,Queens,Jamaica Bay,Boro Zone,false,0.0789
2,dropoff,2024,3,33,3.4965075614664802,0,Queens,Jamaica Bay,Boro Zone,false,0.0789
2,dropoff,2024,4,53,3.970291913552122,0,Queens,Jamaica Bay,Boro Zone,false,0.0789
2,dropoff,2024,5,73,4.290459441148391,0,Queens,Jamaica Bay,Boro Zone,false,0.0789
2,dropoff,2024,6,73,4.290459441148391,0,Queens,Jamaica Bay,Boro Zone,false,0.0789
2,dropoff,2025,2,17,2.833213344056216,1,Queens,Jamaica Bay,Boro Zone,false,0.0789
2,dropoff,2025,3,35,3.5553480614894135,1,Queens,Jamaica Bay,Boro Zone,false,0.0789
2,dropoff,2025,4,67,4.204692619390966,1,Queens,Jamaica Bay,Boro Zone,false,0.0789
