definition_key,denominator_floor,aggregation_method,direction,top_n,overlapping_zone_count,overlap_share
floor_0_50_mean,0.50,mean,dropoff,10,10,1.0
floor_0_50_mean,0.50,mean,dropoff,20,20,1.0
floor_0_50_mean,0.50,mean,pickup,10,10,1.0
floor_0_50_mean,0.50,mean,pickup,20,20,1.0
floor_1_00_mean,1.00,mean,dropoff,10,10,1.0
floor_1_00_mean,1.00,mean,dropoff,20,20,1.0
floor_1_00_mean,1.00,mean,pickup,10,10,1.0
floor_1_00_mean,1.00,mean,pickup,20,20,1.0
floor_2_00_mean,2.00,mean,dropoff,10,10,1.0
floor_2_00_mean,2.00,mean,dropoff,20,20,1.0
floor_2_00_mean,2.00,mean,pickup,10,10,1.0
floor_2_00_mean,2.00,mean,pickup,20,20,1.0
floor_5_00_mean,5.00,mean,dropoff,10,10,1.0
floor_5_00_mean,5.00,mean,dropoff,20,20,1.0
floor_5_00_mean,5.00,mean,pickup,10,10,1.0
floor_5_00_mean,5.00,mean,pickup,20,20,1.0
floor_0_50_median,0.50,median,dropoff,10,9,0.9
floor_0_50_median,0.50,median,dropoff,20,19,0.95
floor_0_50_median,0.50,median,pickup,10,8,0.8
floor_0_50_median,0.50,median,pickup,20,18,0.9
floor_1_00_median,1.00,median,dropoff,10,9,0.9
floor_1_00_median,1.00,median,dropoff,20,19,0.95
floor_1_00_median,1.00,median,pickup,10,8,0.8
floor_1_00_median,1.00,median,pickup,20,18,0.9
floor_2_00_median,2.00,median,dropoff,10,9,0.9
floor_2_00_median,2.00,median,dropoff,20,19,0.95
floor_2_00_median,2.00,median,pickup,10,8,0.8
floor_2_00_median,2.00,median,pickup,20,18,0.9
floor_5_00_median,5.00,median,dropoff,10,9,0.9
floor_5_00_median,5.00,median,dropoff,20,19,0.95
floor_5_00_median,5.00,median,pickup,10,8,0.8
floor_5_00_median,5.00,median,pickup,20,18,0.9
