vehicle,zone,direction,year,month,n_trips,Borough,zone_name,crz_zone,charged_share
hvfhv,1,dropoff,2023,2,117851,EWR,Newark Airport,false,0.6683
hvfhv,1,dropoff,2023,3,142159,EWR,Newark Airport,false,0.6683
hvfhv,1,dropoff,2023,4,132003,EWR,Newark Airport,false,0.6683
hvfhv,1,dropoff,2023,5,149252,EWR,Newark Airport,false,0.6683
hvfhv,1,dropoff,2023,6,142208,EWR,Newark Airport,false,0.6683
hvfhv,1,dropoff,2024,2,127130,EWR,Newark Airport,false,0.6683
hvfhv,1,dropoff,2024,3,141384,EWR,Newark Airport,false,0.6683
hvfhv,1,dropoff,2024,4,142899,EWR,Newark Airport,false,0.6683
hvfhv,1,dropoff,2024,5,155973,EWR,Newark Airport,false,0.6683
hvfhv,1,dropoff,2024,6,139637,EWR,Newark Airport,false,0.6683
hvfhv,1,pickup,2023,2,1,EWR,Newark Airport,false,0.125
hvfhv,1,pickup,2023,4,2,EWR,Newark Airport,false,0.125
hvfhv,1,pickup,2023,5,3,EWR,Newark Airport,false,0.125
hvfhv,1,pickup,2023,6,2,EWR,Newark Airport,false,0.125
hvfhv,1,pickup,2024,2,1,EWR,Newark Airport,false,0.125
hvfhv,1,pickup,2024,4,1,EWR,Newark Airport,false,0.125
hvfhv,1,pickup,2024,5,1,EWR,Newark Airport,false,0.125
hvfhv,2,dropoff,2023,2,26,Queens,Jamaica Bay,false,0.0513
hvfhv,2,dropoff,2023,3,29,Queens,Jamaica Bay,false,0.0513
hvfhv,2,dropoff,2023,4,44,Queens,Jamaica Bay,false,0.0513
hvfhv,2,dropoff,2023,5,48,Queens,Jamaica Bay,false,0.0513
hvfhv,2,dropoff,2023,6,48,Queens,Jamaica Bay,false,0.0513
hvfhv,2,dropoff,2024,2,34,Queens,Jamaica Bay,false,0.0513
hvfhv,2,dropoff,2024,3,33,Queens,Jamaica Bay,false,0.0513
hvfhv,2,dropoff,2024,4,53,Queens,Jamaica Bay,false,0.0513
hvfhv,2,dropoff,2024,5,73,Queens,Jamaica Bay,false,0.0513
hvfhv,2,dropoff,2024,6,73,Queens,Jamaica Bay,false,0.0513
hvfhv,2,pickup,2023,2,28,Queens,Jamaica Bay,false,0.0542
