spec,coefficient,std_error,ci_low,ci_high,n
DS_z only (raw),-2.0422867668617766,0.6551016846872498,-3.331047034924664,-0.7535264987988892,328
+ borough only,0.9487211125063184,1.1111751995718513,-1.237462698306024,3.1349049233186608,326
+ distance only,-5.114148283378334,1.1375256112928946,-7.3519911309331745,-2.876305435823494,328
+ distance + borough,-3.6097796055067146,1.4481484176050714,-6.458976366355718,-0.7605828446577112,326
+ cost only,-3.6138466660351285,1.0700887732971192,-5.719021691369214,-1.5086716407010425,328
+ cost + borough,-1.3482325733010128,1.411787940371682,-4.12589098027906,1.4294258336770342,326
