spec,coefficient,std_error,ci_low,ci_high,n
DS_z only,-2.995571576036161,0.17127137777756124,-3.331263476480181,-2.659879675592141,519
DS_z + borough,-1.374687145593918,0.2727200450398615,-1.9092184338720466,-0.8401558573157895,519
DS_z + distance,-3.252787814382362,0.17782875505967535,-3.601332174299326,-2.9042434544653983,519
DS_z + fare,-2.854553012500246,0.16922746112617476,-3.1862388363075484,-2.5228671886929432,519
DS_z + distance + borough,-1.8050226223486443,0.2922001718581551,-2.3777349591906285,-1.2323102855066603,519
DS_z + fare + borough,-1.4721324301241991,0.27051037002597544,-2.002332755375111,-0.9419321048732873,519
