burden_quartile,n_zone_directions,mean_DS_z_pct,mean_volume_change_pct,median_volume_change_pct
Q1 lowest,130,1.787857037462326,4.531931759292334,5.67009814300458
Q2,130,2.5892628760778638,3.8936473673898506,3.8471705356949606
Q3,128,3.529524123612372,1.1372895262999767,1.5171180429499
Q4 highest,131,5.153779527834017,-5.084427434854379,-5.7917145537261305
