metric,method,n,correlation,ci_low,ci_high
DS_z vs pct_volume_change,pearson,328,-0.17014536673202743,-0.2734025673227671,-0.06301152771054933
DS_z vs pct_volume_change,spearman,328,-0.16294072970491355,-0.266532473155623,-0.055627430318586656
DS_z_median vs pct_volume_change,pearson,328,-0.17717618603267613,-0.28009677385700915,-0.07022880395538474
DS_z_median vs pct_volume_change,spearman,328,-0.18589958049108996,-0.28838862976280705,-0.07919913393351913
