diagnostic,min_monthly_trips,zone_direction_units,share_dropped,estimate_pct
thin-unit trim,30,455,0.0,-11.087397882434324
thin-unit trim,40,444,0.0241758241758242,-10.45051199249073
thin-unit trim,50,438,0.03736263736263734,-10.54697298180729
thin-unit trim,60,424,0.06813186813186811,-10.662699893079141
thin-unit trim,75,415,0.08791208791208793,-10.4885306415623
