metric,method,n,correlation,ci_low,ci_high
DS_z vs pct_volume_change,pearson,519,-0.6097045783321842,-0.6610831533012714,-0.5526348880418136
DS_z vs pct_volume_change,spearman,519,-0.6429456420785902,-0.6907889231956041,-0.5894969889357079
DS_z_median vs pct_volume_change,pearson,519,-0.5992898959996753,-0.651742850193733,-0.5411314627447661
DS_z_median vs pct_volume_change,spearman,519,-0.6374340180072179,-0.6858746221465752,-0.5833695347470882
