model,formula,coef,std_error,ci_low,ci_high,n,rank,zone_direction_units,se_type,engine,pct_change,pct_ci_low,pct_ci_high,result_group
simple,log_n_trips ~ post * charged_share_2024_geo,-0.1591040582230692,0.03551973531190784,-0.22872146017480413,-0.08948665627133426,5233,4,525,cluster_zone,statsmodels,-14.709239769825666,-20.444990496878834,-8.55995334453844,primary
zone_direction_month_fe,log_n_trips ~ post + post:charged_share_2024_geo + C(zone_direction) + C(month),-0.11302791906928913,0.007603616053446375,-0.1279307326863146,-0.09812510545226366,5233,531,525,cluster_zone,statsmodels,-10.68742754710591,-12.008567366454603,-9.346451587237281,primary
binary_simple,log_n_trips ~ post * crz_int,-0.10248410281968132,0.012909160650114503,-0.1277855927645474,-0.07718261287481522,5233,4,525,cluster_zone,statsmodels,-9.740750168542556,-11.995795369965123,-7.427921036433527,binary_crz
binary_zone_direction_month_fe,log_n_trips ~ post + post:crz_int + C(zone_direction) + C(month),-0.09781123266014018,0.0069450792275232666,-0.11142333781586304,-0.08419912750441731,5233,531,525,cluster_zone,statsmodels,-9.317993438995476,-10.544003230440492,-8.07518097290596,binary_crz
simple_n_trips_ge_30,log_n_trips ~ post * charged_share_2024_geo,-0.11904293777367306,0.0075070788953877175,-0.1337565420377337,-0.1043293335096124,5183,4,519,cluster_zone,statsmodels,-11.22303189100714,-12.519698356036102,-9.907145740061074,robustness
fe_n_trips_ge_30,log_n_trips ~ post + post:charged_share_2024_geo + C(zone_direction) + C(month),-0.11581256958163419,0.006994438822233738,-0.12952141776528106,-0.1021037213979873,5183,525,519,cluster_zone,statsmodels,-10.935785891663386,-12.148422762986,-9.706410696136015,robustness
simple_wls_baseline_2024,log_n_trips ~ post * charged_share_2024_geo,-0.0968758926840109,0.006433364515607369,-0.1094850554340193,-0.08426672993400249,5233,4,525,cluster_zone,statsmodels,-9.23313525370344,-10.37044409898601,-8.081395103963818,robustness
fe_wls_baseline_2024,log_n_trips ~ post + post:charged_share_2024_geo + C(zone_direction) + C(month),-0.09687538743948633,0.006784311668431133,-0.11017239396950619,-0.08357838090946647,5233,531,525,cluster_zone,statsmodels,-9.233089394230431,-10.432028779488734,-8.018101240311449,robustness
