window,spec,est_pct,ci_low,ci_high
2024->2025,"primary within-CRZ, equal-weight",-5.892018116137631,-7.161215397742682,-4.605469662320072
2024->2025,"primary within-CRZ, volume-weight",-5.50291796850032,-6.670763847282002,-4.320458619676348
2024->2025,"triple-diff, binary CRZ",-2.2117737586402564,-4.242914380319885,-0.137549826745631
2024->2025,"triple-diff, continuous exposure",-1.9039446448040453,-4.64355079896146,0.9143708357050029
2023->2024 placebo,primary within-CRZ,2.650582483959907,1.543667749108879,3.769563556943001
2023->2024 placebo,"triple-diff, binary CRZ",7.470155930135047,3.725806886733407,11.349670465901895
