charged_cbd_flag,rows,median_cost,median_base_fare,median_driver_pay,median_distance,median_duration_min,airport_fee_share,shared_request_share,shared_match_share
False,65785711,18.730000000000004,16.4,13.25,2.66,14.116666666666667,0.0763760537603675,0.036790664161097233,0.018989214846366866
True,34717751,36.29,28.1,20.18,3.76,20.3,0.10198523516111398,0.018825701008109656,0.013136046744502545
