distance_bucket,bucket_order,rows,charged_cbd_share,median_cost,median_base_cost_burden_floor1,median_driver_pay
"(0,1]",1,11107327,0.24974352515236115,10.040000000000001,0.09621552277100706,5.23
"(1,2]",2,24236191,0.2961057288251277,14.47,0.07139457401237505,8.52
"(2,5]",3,33038752,0.33049840986729767,22.99,0.04844961240310077,15.37
"(5,10]",4,18908425,0.41753324245673556,38.0,0.03226500322650032,26.36
"(10,20]",5,10707468,0.4594445671002706,65.43,0.019452729866424587,43.82
20+,6,2493071,0.41370943707579927,119.28,0.011444266422522317,76.56
