distance_bucket,bucket_order,rows,charged_cbd_share,median_cost,median_base_cost_burden_floor1
"(0,1]",1,3793074,0.6799311060105867,12.649999999999999,0.06097560975609756
"(1,2]",2,4877565,0.7795069876054957,16.8,0.04573170731707318
"(2,5]",3,3757534,0.8594075263191231,23.85,0.032051282051282055
"(5,10]",4,1231928,0.6909234955289595,41.05,0.01893939393939394
"(10,20]",5,1052608,0.6182415486106889,76.5,0.009266123054114159
20+,6,138575,0.3763882374165614,86.69,0.009070020558713266
