definition,rows,mean_burden,p25,median,p75,p90,p95,p99
fee/current cost,34717751,0.045777754756801084,0.026790498303268444,0.041333700744006614,0.06060606060606061,0.08068854222700376,0.09398496240601505,0.11547344110854504
"fee/base cost, floor=$1",34717442,0.048680471058827564,0.02752798678656634,0.04311583788444955,0.06451612903225806,0.08777062609713282,0.10373443983402489,0.13054830287206265
