year,month,provider_label,provider_trips,provider_share,total_trips,same_month_volume_change_pct
2024,2,Uber,14403218,0.7442370427568896,19352998,
2024,2,Lyft,4949780,0.2557629572431103,19352998,
2024,3,Uber,15621152,0.7340815212130155,21279860,
2024,3,Lyft,5658708,0.2659184787869845,21279860,
2024,4,Uber,14703642,0.7451518593015247,19732410,
2024,4,Lyft,5028768,0.2548481406984752,19732410,
2024,5,Uber,15537995,0.7504752899000329,20704206,
2024,5,Lyft,5166211,0.24952471009996713,20704206,
2024,6,Uber,15157774,0.7532593937438683,20122914,
2024,6,Lyft,4965140,0.2467406062561317,20122914,
2025,2,Uber,14418259,0.7455899647399888,19338054,-0.07721801035684983
2025,2,Lyft,4919795,0.25441003526001116,19338054,-0.07721801035684983
2025,3,Uber,14545890,0.7103484279039239,20477120,-3.7722992538484768
2025,3,Lyft,5931230,0.289651572096076,20477120,-3.7722992538484768
2025,4,Uber,14360303,0.7274347756534136,19741018,0.04362366279637708
2025,4,Lyft,5380715,0.27256522434658637,19741018,0.04362366279637708
2025,5,Uber,15038555,0.7130372373486671,21090841,1.8674224937677009
2025,5,Lyft,6052286,0.28696276265133286,21090841,1.8674224937677009
2025,6,Uber,14166610,0.7134520512223018,19856429,-1.324286333480329
2025,6,Lyft,5689819,0.2865479487776981,19856429,-1.324286333480329
