definition,rows,mean_burden,p25,median,p75,p90,p95,p99
fee/current cost,11164470,0.039126229394043116,0.028571428571428567,0.03896103896103896,0.04983388704318937,0.05928853754940711,0.06493506493506494,0.07614213197969544
"fee/base cost, floor=$1",11164465,0.04101074806941462,0.029411764705882353,0.04054054054054054,0.05244755244755245,0.06302521008403361,0.06944444444444443,0.08241758241758242
