service_type,year,month,sampling_stratum,stratum_population_n,stratum_sample_n,sample_weight
yellow,2024,2,yellow_2024_02,2970277,1598,1858.7465581977472
yellow,2024,3,yellow_2024_03,3536782,1903,1858.529689963216
yellow,2024,4,yellow_2024_04,3469080,1867,1858.1039100160685
yellow,2024,5,yellow_2024_05,3673319,1977,1858.0268082953971
yellow,2024,6,yellow_2024_06,3488938,1878,1857.7944621938232
yellow,2025,2,yellow_2025_02,3516753,1892,1858.7489429175475
yellow,2025,3,yellow_2025_03,4053697,2181,1858.641448876662
yellow,2025,4,yellow_2025_04,3862613,2079,1857.918710918711
yellow,2025,5,yellow_2025_05,4414520,2376,1857.962962962963
yellow,2025,6,yellow_2025_06,4179498,2249,1858.380613606047
