service_type,year,month,sampling_stratum,stratum_population_n,stratum_sample_n,sample_weight
hvfhv,2024,2,hvfhv_2024_02,19352998,1620,11946.295061728395
hvfhv,2024,3,hvfhv_2024_03,21279860,1782,11941.560044893378
hvfhv,2024,4,hvfhv_2024_04,19732410,1652,11944.558111380145
hvfhv,2024,5,hvfhv_2024_05,20704206,1734,11940.141868512112
hvfhv,2024,6,hvfhv_2024_06,20122914,1685,11942.382195845697
hvfhv,2025,2,hvfhv_2025_02,19338054,1619,11944.443483631872
hvfhv,2025,3,hvfhv_2025_03,20477120,1715,11940.01166180758
hvfhv,2025,4,hvfhv_2025_04,19741018,1653,11942.53962492438
hvfhv,2025,5,hvfhv_2025_05,21090841,1766,11942.718573046433
hvfhv,2025,6,hvfhv_2025_06,19856429,1663,11940.125676488275
yellow,2024,2,yellow_2024_02,2970277,249,11928.82329317269
yellow,2024,3,yellow_2024_03,3536782,296,11948.587837837838
yellow,2024,4,yellow_2024_04,3469080,290,11962.344827586207
yellow,2024,5,yellow_2024_05,3673319,308,11926.36038961039
yellow,2024,6,yellow_2024_06,3488938,292,11948.417808219177
yellow,2025,2,yellow_2025_02,3516753,294,11961.744897959185
yellow,2025,3,yellow_2025_03,4053697,339,11957.80825958702
yellow,2025,4,yellow_2025_04,3862613,323,11958.554179566563
yellow,2025,5,yellow_2025_05,4414520,370,11931.135135135135
yellow,2025,6,yellow_2025_06,4179498,350,11941.422857142858
