service_type,year,month,diagnostic_flag,raw_count,monthly_row_total,share_of_monthly_rows
hvfhv,2024,2,any_negative_cost_component_flag,8512,19359148,0.0004396887714273376
hvfhv,2024,2,burden_eligible_flag,19353001,19359148,0.9996824756957279
hvfhv,2024,2,dst_transition_day_flag,0,19359148,0.0
hvfhv,2024,2,dst_transition_window_flag,0,19359148,0.0
hvfhv,2024,2,invalid_timestamp_flag,0,19359148,0.0
hvfhv,2024,2,missing_zone_flag,0,19359148,0.0
hvfhv,2024,2,negative_cbd_fee_flag,0,19359148,0.0
hvfhv,2024,2,negative_distance_flag,0,19359148,0.0
hvfhv,2024,2,nonpositive_duration_flag,3,19359148,1.5496549744854475e-07
hvfhv,2024,2,passenger_cost_nonpositive_flag,6147,19359148,0.00031752430427206817
hvfhv,2024,2,possible_refund_or_adjustment_flag,8584,19359148,0.0004434079433661027
hvfhv,2024,2,very_long_distance_flag,1284,19359148,6.632523290797715e-05
hvfhv,2024,2,very_long_duration_flag,190,19359148,9.8144815050745e-06
hvfhv,2024,2,yellow_payment_review_flag,0,19359148,0.0
hvfhv,2024,2,zero_distance_flag,3082,19359148,0.00015920122104547162
hvfhv,2024,3,any_negative_cost_component_flag,1080,21280788,5.075000042291667e-05
hvfhv,2024,3,burden_eligible_flag,21279862,21280788,0.9999564865737115
hvfhv,2024,3,dst_transition_day_flag,687502,21280788,0.03230622850995931
hvfhv,2024,3,dst_transition_window_flag,71537,21280788,0.003361576648383509
hvfhv,2024,3,invalid_timestamp_flag,0,21280788,0.0
hvfhv,2024,3,missing_zone_flag,0,21280788,0.0
hvfhv,2024,3,negative_cbd_fee_flag,0,21280788,0.0
hvfhv,2024,3,negative_distance_flag,0,21280788,0.0
hvfhv,2024,3,nonpositive_duration_flag,2,21280788,9.39814822646605e-08
hvfhv,2024,3,passenger_cost_nonpositive_flag,926,21280788,4.351342628853781e-05
hvfhv,2024,3,possible_refund_or_adjustment_flag,1183,21280788,5.559004675954669e-05
hvfhv,2024,3,very_long_distance_flag,1404,21280788,6.597500054979168e-05
hvfhv,2024,3,very_long_duration_flag,200,21280788,9.39814822646605e-06
hvfhv,2024,3,yellow_payment_review_flag,0,21280788,0.0
hvfhv,2024,3,zero_distance_flag,2954,21280788,0.00013881064930490355
hvfhv,2024,4,any_negative_cost_component_flag,673,19733038,3.410524015612801e-05
hvfhv,2024,4,burden_eligible_flag,19732411,19733038,0.9999682258758129
hvfhv,2024,4,dst_transition_day_flag,0,19733038,0.0
hvfhv,2024,4,dst_transition_window_flag,0,19733038,0.0
hvfhv,2024,4,invalid_timestamp_flag,0,19733038,0.0
hvfhv,2024,4,missing_zone_flag,0,19733038,0.0
hvfhv,2024,4,negative_cbd_fee_flag,0,19733038,0.0
hvfhv,2024,4,negative_distance_flag,0,19733038,0.0
hvfhv,2024,4,nonpositive_duration_flag,1,19733038,5.067643411014563e-08
hvfhv,2024,4,passenger_cost_nonpositive_flag,627,19733038,3.1774124187061314e-05
hvfhv,2024,4,possible_refund_or_adjustment_flag,764,19733038,3.871679566015126e-05
hvfhv,2024,4,very_long_distance_flag,1442,19733038,7.307541798683e-05
hvfhv,2024,4,very_long_duration_flag,218,19733038,1.1047462636011748e-05
hvfhv,2024,4,yellow_payment_review_flag,0,19733038,0.0
hvfhv,2024,4,zero_distance_flag,2508,19733038,0.00012709649674824526
hvfhv,2024,5,any_negative_cost_component_flag,266,20704538,1.2847425042761157e-05
hvfhv,2024,5,burden_eligible_flag,20704207,20704538,0.9999840131665821
hvfhv,2024,5,dst_transition_day_flag,0,20704538,0.0
hvfhv,2024,5,dst_transition_window_flag,0,20704538,0.0
hvfhv,2024,5,invalid_timestamp_flag,0,20704538,0.0
hvfhv,2024,5,missing_zone_flag,0,20704538,0.0
hvfhv,2024,5,negative_cbd_fee_flag,0,20704538,0.0
hvfhv,2024,5,negative_distance_flag,0,20704538,0.0
hvfhv,2024,5,nonpositive_duration_flag,1,20704538,4.8298590386320136e-08
hvfhv,2024,5,passenger_cost_nonpositive_flag,331,20704538,1.5986833417871966e-05
hvfhv,2024,5,possible_refund_or_adjustment_flag,397,20704538,1.9174540383369094e-05
hvfhv,2024,5,very_long_distance_flag,1731,20704538,8.360485995872015e-05
hvfhv,2024,5,very_long_duration_flag,298,20704538,1.4392979935123402e-05
hvfhv,2024,5,yellow_payment_review_flag,0,20704538,0.0
hvfhv,2024,5,zero_distance_flag,2510,20704538,0.00012122946186966356
