stratum,n,pearson_r,ci_low,ci_high,median_DS_z,note
(all),519,-0.6097045783321842,-0.6610831533012714,-0.5526348880418136,0.0298633419052647,
manhattan,132,-0.5274965328117862,-0.64062823022159,-0.39194990510660616,0.05137648183429035,
outer,382,-0.23835711105497884,-0.3307854717192764,-0.14139926324139226,0.02553410834130105,
airport,4,,,,0.0177252404242456,n too small
ewr,1,,,,0.0146130955995104,n too small
manhattan (excl. 194),130,-0.49371499540550384,-0.613729573129048,-0.35139907594048025,0.05167512193159475,Randalls Island removed
