zone_type,direction,n_zone_dir,median_DS_z,mean_DS_z
airport,dropoff,2,0.0174057662424224,0.0174057662424224
airport,pickup,2,0.0177252404242456,0.0177252404242456
ewr,dropoff,1,0.0146130955995104,0.0146130955995104
manhattan,dropoff,66,0.0529621959359878,0.05103511628876348
manhattan,pickup,66,0.0495670795034105,0.04807747746222331
outer,dropoff,191,0.025940349937543,0.027409982394787036
outer,pickup,191,0.0249809636939167,0.026690497452284544
