trip_length,q,avg_DS_z,median_DS_z,n_zone_dir,median_trip_count
short,1,0.07156982655639645,0.07183908045977012,25,208753.0
short,2,0.07826381970470556,0.07880312535361704,24,173946.0
short,3,0.08097774778251882,0.08112493239588968,25,225875.0
short,4,0.08557786489226184,0.08513448220325334,24,85083.5
medium,1,0.04128230994468809,0.04131663010768613,32,184585.5
medium,2,0.04378518497702358,0.043795620437956206,31,173793.0
medium,3,0.04601730976752595,0.045773726839942255,32,251201.5
medium,4,0.05078054979594983,0.05007511406416123,30,234664.0
long,1,0.018639106559785654,0.018642803877703208,33,94144.0
long,2,0.02226138292315915,0.02247191011235955,33,83831.0
long,3,0.02532153735101433,0.025210084033613446,31,34393.0
long,4,0.031136173918687768,0.030946977511863007,33,19267.0
