window,spec,estimate_pct,ci_low,ci_high
2024→2025,"higher-exposure, equal-weight",-11.087397882434324,-13.704879574336227,-8.390523400144668
2024→2025,"higher-exposure, volume-weight",1.3850581353077818,-2.192301509566086,5.09326128459171
2024→2025,binary CRZ comparison,-7.07517057903636,-9.041609859257871,-5.066218635202258
2024→2025,"within-Manhattan, exposure",1.646996989905869,-2.1004071768250476,5.537844429319194
2024→2025,"within-Manhattan, binary CRZ",1.6582548075322334,-0.8270681095375987,4.205861150980272
2023→2024 placebo,"higher-exposure, equal-weight",-25.76942800596118,-30.74663559652867,-20.4345107847788
2023→2024 placebo,"higher-exposure, volume-weight",5.497856716046767,-6.435682975778501,18.953444279385945
2023→2024 placebo,"within-Manhattan, equal-weight",-1.1901328362532104,-6.40647075348385,4.316932244337934
