window,spec,estimate_pct,ci_low,ci_high
2024→2025,higher-exposure FE-style,-10.68742754710591,-12.008567366454603,-9.346451587237281
2024→2025,"higher-exposure, volume-weight",-9.233089394230431,-10.432028779488734,-8.018101240311449
2024→2025,exclude n_trips < 30,-10.935785891663386,-12.148422762986,-9.706410696136015
2024→2025,binary CRZ FE-style,-9.317993438995476,-10.544003230440492,-8.07518097290596
2023→2024 placebo,higher-exposure FE-style,-9.626914359155537,-11.490821563279441,-7.7237552929429025
